SuccessServerLatencySuccessServerLatency,Success Server Latency (成功サーバー待機時間)Success Server Latency,ミリ秒Milliseconds,平均Average,"成功した要求の処理に Azure Storage が使った平均待機時間 (ミリ秒単位)。The average latency used by Azure Storage to process a successful request, in milliseconds. この値には、AverageE2ELatency で指定されているネットワーク待機時間は含まれません。This value does not include the network latency specified in AverageE2ELatency.","GeoType、ApiName、AuthenticationGeoType, ApiName, Authentication",,,,,,,
SuccessE2ELatencySuccessE2ELatency,Success E2E Latency (成功 E2E 待機時間)Success E2E Latency,ミリ秒Milliseconds,平均Average,"ストレージ サービスまたは指定された API 操作に対して行われた成功した要求の平均エンド ツー エンド待機時間 (ミリ秒単位)。The average end-to-end latency of successful requests made to a storage service or the specified API operation, in milliseconds. この値には、要求の読み取り、応答の送信、および応答の受信確認を受け取るために Azure Storage 内で必要な処理時間が含まれます。This value includes the required processing time within Azure Storage to read the request, send the response, and receive acknowledgment of the response.","GeoType、ApiName、AuthenticationGeoType, ApiName, Authentication",,,,,,,
可用性Availability,可用性Availability,PercentPercent,平均Average,"ストレージ サービスまたは指定された API 操作の可用性の割合。The percentage of availability for the storage service or the specified API operation. 可用性は、TotalBillableRequests の値を取得し、それを該当する要求の数 (予期しないエラーが発生した要求を含む) で割ることによって、計算されます。Availability is calculated by taking the TotalBillableRequests value and dividing it by the number of applicable requests, including those that produced unexpected errors. 予期しないエラーすべてが、ストレージ サービスまたは指定された API 操作の可用性の低下をもたらします。All unexpected errors result in reduced availability for the storage service or the specified API operation.","GeoType、ApiName、AuthenticationGeoType, ApiName, Authentication",,,,,,,
,,,,,,,,,,,,
Microsoft.Storage/storageAccounts/queueServicesMicrosoft.Storage/storageAccounts/queueServices,,,,,,,,,,,,
,,,,,,,,,,,,
メトリックMetric,メトリックの表示名Metric Display Name,単位Unit,集計の種類Aggregation Type,説明Description,DimensionsDimensions,,,,,,,
QueueCapacityQueueCapacity,Queue Capacity (キュー容量)Queue Capacity,BytesBytes,平均Average,ストレージ アカウントの Queue サービスによって使われているストレージの量 (バイト単位)。The amount of storage used by the storage account’s Queue service in bytes.,ディメンションなしNo Dimensions,,,,,,,
QueueCountQueueCount,Queue Count (キュー数)Queue Count,CountCount,平均Average,ストレージ アカウントの Queue サービス内のキューの数。The number of queue in the storage account’s Queue service.,ディメンションなしNo Dimensions,,,,,,,
QueueMessageCountQueueMessageCount,Queue Message Count (キュー メッセージ数)Queue Message Count,CountCount,平均Average,ストレージ アカウントの Queue サービス内のキュー メッセージの概数。The approximate number of queue messages in the storage account’s Queue service.,ディメンションなしNo Dimensions,,,,,,,
トランザクションTransactions,トランザクションTransactions,CountCount,合計Total,"ストレージ サービスまたは指定された API 操作に対して行われた要求の数。The number of requests made to a storage service or the specified API operation. この数には、成功した要求と失敗した要求およびエラーが発生した要求が含まれます。This number includes successful and failed requests, as well as requests which produced errors. 別の種類の応答の数には ResponseType ディメンションを使います。Use ResponseType dimension for the number of different type of response.","ResponseType、GeoType、ApiName、AuthenticationResponseType, GeoType, ApiName, Authentication",,,,,,,
イングレスIngress,イングレスIngress,BytesBytes,合計Total,"イングレス データの量 (バイト単位)。The amount of ingress data, in bytes. この値には、外部クライアントから Azure Storage へのイングレスおよび Azure 内でのイングレスが含まれます。This number includes ingress from an external client into Azure Storage as well as ingress within Azure.","GeoType、ApiName、AuthenticationGeoType, ApiName, Authentication",,,,,,,
エグレスEgress,エグレスEgress,BytesBytes,合計Total,"エグレス データの量 (バイト単位)。The amount of egress data, in bytes. この値には、外部クライアントから Azure Storage へのエグレスおよび Azure 内でのエグレスが含まれます。This number includes egress from an external client into Azure Storage as well as egress within Azure. したがって、この値には、課金対象のエグレスが反映されません。As a result, this number does not reflect billable egress.","GeoType、ApiName、AuthenticationGeoType, ApiName, Authentication",,,,,,,
SuccessServerLatencySuccessServerLatency,Success Server Latency (成功サーバー待機時間)Success Server Latency,ミリ秒Milliseconds,平均Average,"成功した要求の処理に Azure Storage が使った平均待機時間 (ミリ秒単位)。The average latency used by Azure Storage to process a successful request, in milliseconds. この値には、AverageE2ELatency で指定されているネットワーク待機時間は含まれません。This value does not include the network latency specified in AverageE2ELatency.","GeoType、ApiName、AuthenticationGeoType, ApiName, Authentication",,,,,,,
SuccessE2ELatencySuccessE2ELatency,Success E2E Latency (成功 E2E 待機時間)Success E2E Latency,ミリ秒Milliseconds,平均Average,"ストレージ サービスまたは指定された API 操作に対して行われた成功した要求の平均エンド ツー エンド待機時間 (ミリ秒単位)。The average end-to-end latency of successful requests made to a storage service or the specified API operation, in milliseconds. この値には、要求の読み取り、応答の送信、および応答の受信確認を受け取るために Azure Storage 内で必要な処理時間が含まれます。This value includes the required processing time within Azure Storage to read the request, send the response, and receive acknowledgment of the response.","GeoType、ApiName、AuthenticationGeoType, ApiName, Authentication",,,,,,,
可用性Availability,可用性Availability,PercentPercent,平均Average,"ストレージ サービスまたは指定された API 操作の可用性の割合。The percentage of availability for the storage service or the specified API operation. 可用性は、TotalBillableRequests の値を取得し、それを該当する要求の数 (予期しないエラーが発生した要求を含む) で割ることによって、計算されます。Availability is calculated by taking the TotalBillableRequests value and dividing it by the number of applicable requests, including those that produced unexpected errors. 予期しないエラーすべてが、ストレージ サービスまたは指定された API 操作の可用性の低下をもたらします。All unexpected errors result in reduced availability for the storage service or the specified API operation.","GeoType、ApiName、AuthenticationGeoType, ApiName, Authentication",,,,,,,
,,,,,,,,,,,,
Microsoft.Storage/storageAccounts/tableServicesMicrosoft.Storage/storageAccounts/tableServices,,,,,,,,,,,,
,,,,,,,,,,,,
メトリックMetric,メトリックの表示名Metric Display Name,単位Unit,集計の種類Aggregation Type,説明Description,DimensionsDimensions,,,,,,,
TableCapacityTableCapacity,Table Capacity (テーブル容量)Table Capacity,BytesBytes,平均Average,ストレージ アカウントの Table service によって使われているストレージの量 (バイト単位)。The amount of storage used by the storage account’s Table service in bytes.,ディメンションなしNo Dimensions,,,,,,,
TableCountTableCount,Table Count (テーブル数)Table Count,CountCount,平均Average,ストレージ アカウントの Table service 内のテーブルの数。The number of table in the storage account’s Table service.,ディメンションなしNo Dimensions,,,,,,,
TableEntityCountTableEntityCount,Table Entity Count (テーブル エンティティ数)Table Entity Count,CountCount,平均Average,ストレージ アカウントの Table service 内のテーブル エンティティの数。The number of table entities in the storage account’s Table service.,ディメンションなしNo Dimensions,,,,,,,
トランザクションTransactions,トランザクションTransactions,CountCount,合計Total,"ストレージ サービスまたは指定された API 操作に対して行われた要求の数。The number of requests made to a storage service or the specified API operation. この数には、成功した要求と失敗した要求およびエラーが発生した要求が含まれます。This number includes successful and failed requests, as well as requests which produced errors. 別の種類の応答の数には ResponseType ディメンションを使います。Use ResponseType dimension for the number of different type of response.","ResponseType、GeoType、ApiName、AuthenticationResponseType, GeoType, ApiName, Authentication",,,,,,,
イングレスIngress,イングレスIngress,BytesBytes,合計Total,"イングレス データの量 (バイト単位)。The amount of ingress data, in bytes. この値には、外部クライアントから Azure Storage へのイングレスおよび Azure 内でのイングレスが含まれます。This number includes ingress from an external client into Azure Storage as well as ingress within Azure.","GeoType、ApiName、AuthenticationGeoType, ApiName, Authentication",,,,,,,
エグレスEgress,エグレスEgress,BytesBytes,合計Total,"エグレス データの量 (バイト単位)。The amount of egress data, in bytes. この値には、外部クライアントから Azure Storage へのエグレスおよび Azure 内でのエグレスが含まれます。This number includes egress from an external client into Azure Storage as well as egress within Azure. したがって、この値には、課金対象のエグレスが反映されません。As a result, this number does not reflect billable egress.","GeoType、ApiName、AuthenticationGeoType, ApiName, Authentication",,,,,,,
SuccessServerLatencySuccessServerLatency,Success Server Latency (成功サーバー待機時間)Success Server Latency,ミリ秒Milliseconds,平均Average,"成功した要求の処理に Azure Storage が使った平均待機時間 (ミリ秒単位)。The average latency used by Azure Storage to process a successful request, in milliseconds. この値には、AverageE2ELatency で指定されているネットワーク待機時間は含まれません。This value does not include the network latency specified in AverageE2ELatency.","GeoType、ApiName、AuthenticationGeoType, ApiName, Authentication",,,,,,,
SuccessE2ELatencySuccessE2ELatency,Success E2E Latency (成功 E2E 待機時間)Success E2E Latency,ミリ秒Milliseconds,平均Average,"ストレージ サービスまたは指定された API 操作に対して行われた成功した要求の平均エンド ツー エンド待機時間 (ミリ秒単位)。The average end-to-end latency of successful requests made to a storage service or the specified API operation, in milliseconds. この値には、要求の読み取り、応答の送信、および応答の受信確認を受け取るために Azure Storage 内で必要な処理時間が含まれます。This value includes the required processing time within Azure Storage to read the request, send the response, and receive acknowledgment of the response.","GeoType、ApiName、AuthenticationGeoType, ApiName, Authentication",,,,,,,
可用性Availability,可用性Availability,PercentPercent,平均Average,"ストレージ サービスまたは指定された API 操作の可用性の割合。The percentage of availability for the storage service or the specified API operation. 可用性は、TotalBillableRequests の値を取得し、それを該当する要求の数 (予期しないエラーが発生した要求を含む) で割ることによって、計算されます。Availability is calculated by taking the TotalBillableRequests value and dividing it by the number of applicable requests, including those that produced unexpected errors. 予期しないエラーすべてが、ストレージ サービスまたは指定された API 操作の可用性の低下をもたらします。All unexpected errors result in reduced availability for the storage service or the specified API operation.","GeoType、ApiName、AuthenticationGeoType, ApiName, Authentication",,,,,,,
,,,,,,,,,,,,
microsoft.storagesync/storageSyncServicesmicrosoft.storagesync/storageSyncServices,,,,,,,,,,,,
,,,,,,,,,,,,
メトリックMetric,メトリックの表示名Metric Display Name,単位Unit,集計の種類Aggregation Type,説明Description,DimensionsDimensions,,,,,,,
ServerSyncSessionResultServerSyncSessionResult,同期セッションの結果Sync Session Result,CountCount,平均Average,サーバー エンドポイントがクラウド エンドポイントとの同期セッションを正常に完了するたびに 1 の値をログ記録するメトリックMetric that logs a value of 1 each time the Server Endpoint successfully completes a Sync Session with the Cloud Endpoint,"SyncGroupName、ServerEndpointName、SyncDirectionSyncGroupName, ServerEndpointName, SyncDirection",,,,,,,
StorageSyncSyncSessionAppliedFilesCountStorageSyncSyncSessionAppliedFilesCount,同期されたファイル数Files Synced,CountCount,合計Total,同期したファイルの数Count of Files synced,"SyncGroupName、ServerEndpointName、SyncDirectionSyncGroupName, ServerEndpointName, SyncDirection",,,,,,,
StorageSyncSyncSessionPerItemErrorsCountStorageSyncSyncSessionPerItemErrorsCount,ファイルが同期していないFiles not syncing,CountCount,合計Total,同期に失敗したファイルの数Count of files failed to sync,"SyncGroupName、ServerEndpointName、SyncDirectionSyncGroupName, ServerEndpointName, SyncDirection",,,,,,,
StorageSyncBatchTransferredFileBytesStorageSyncBatchTransferredFileBytes,同期したバイト数Bytes synced,BytesBytes,合計Total,同期セッションに転送されたファイルの合計サイズTotal file size transferred for Sync Sessions,"SyncGroupName、ServerEndpointName、SyncDirectionSyncGroupName, ServerEndpointName, SyncDirection",,,,,,,
StorageSyncServerHeartbeatStorageSyncServerHeartbeat,サーバーのオンライン状態Server Online Status,CountCount,最大値Maximum,クラウド エンドポイントとのハートビートを正常に記録するたびに 1 の値をログ記録するメトリックMetric that logs a value of 1 each time the registered server successfully records a heartbeat with the Cloud Endpoint,ServerNameServerName,,,,,,,
StorageSyncRecallIOTotalSizeBytesStorageSyncRecallIOTotalSizeBytes,クラウドを使った階層化の呼び戻しCloud tiering recall,BytesBytes,合計Total,サーバーに呼び戻されたデータの合計サイズTotal size of data recalled by the server,ServerNameServerName,,,,,,,
,,,,,,,,,,,,
Microsoft.StreamAnalytics/streamingjobsMicrosoft.StreamAnalytics/streamingjobs,,,,,,,,,,,,
,,,,,,,,,,,,
メトリックMetric,メトリックの表示名Metric Display Name,単位Unit,集計の種類Aggregation Type,説明Description,DimensionsDimensions,,,,,,,
ResourceUtilizationResourceUtilization,SU % 使用率SU % Utilization,PercentPercent,最大値Maximum,SU % 使用率SU % Utilization,"LogicalName、PartitionIdLogicalName, PartitionId",,,,,,,
InputEventsInputEvents,入力イベントInput Events,CountCount,合計Total,入力イベントInput Events,"LogicalName、PartitionIdLogicalName, PartitionId",,,,,,,
InputEventBytesInputEventBytes,入力イベントのバイト数Input Event Bytes,BytesBytes,合計Total,入力イベントのバイト数Input Event Bytes,"LogicalName、PartitionIdLogicalName, PartitionId",,,,,,,
LateInputEventsLateInputEvents,遅延入力イベントLate Input Events,CountCount,合計Total,遅延入力イベントLate Input Events,"LogicalName、PartitionIdLogicalName, PartitionId",,,,,,,
OutputEventsOutputEvents,出力イベントOutput Events,CountCount,合計Total,出力イベントOutput Events,"LogicalName、PartitionIdLogicalName, PartitionId",,,,,,,
ConversionErrorsConversionErrors,データ変換エラーData Conversion Errors,CountCount,合計Total,データ変換エラーData Conversion Errors,"LogicalName、PartitionIdLogicalName, PartitionId",,,,,,,
ErrorsErrors,実行時エラーRuntime Errors,CountCount,合計Total,実行時エラーRuntime Errors,"LogicalName、PartitionIdLogicalName, PartitionId",,,,,,,
DroppedOrAdjustedEventsDroppedOrAdjustedEvents,順不同のイベントOut of order Events,CountCount,合計Total,順不同のイベントOut of order Events,"LogicalName、PartitionIdLogicalName, PartitionId",,,,,,,
AMLCalloutRequestsAMLCalloutRequests,関数の要求Function Requests,CountCount,合計Total,関数の要求Function Requests,"LogicalName、PartitionIdLogicalName, PartitionId",,,,,,,
AMLCalloutFailedRequestsAMLCalloutFailedRequests,失敗した関数の要求Failed Function Requests,CountCount,合計Total,失敗した関数の要求Failed Function Requests,"LogicalName、PartitionIdLogicalName, PartitionId",,,,,,,
AMLCalloutInputEventsAMLCalloutInputEvents,関数のイベントFunction Events,CountCount,合計Total,関数のイベントFunction Events,"LogicalName、PartitionIdLogicalName, PartitionId",,,,,,,
DeserializationErrorDeserializationError,逆シリアル化の入力エラーInput Deserialization Errors,CountCount,合計Total,逆シリアル化の入力エラーInput Deserialization Errors,"LogicalName、PartitionIdLogicalName, PartitionId",,,,,,,
EarlyInputEventsEarlyInputEvents,初期入力イベントEarly Input Events,CountCount,合計Total,初期入力イベントEarly Input Events,"LogicalName、PartitionIdLogicalName, PartitionId",,,,,,,
OutputWatermarkDelaySecondsOutputWatermarkDelaySeconds,透かしの遅延Watermark Delay,SecondsSeconds,最大値Maximum,透かしの遅延Watermark Delay,"LogicalName、PartitionIdLogicalName, PartitionId",,,,,,,
InputEventsSourcesBackloggedInputEventsSourcesBacklogged,バックログされた入力イベントBacklogged Input Events,CountCount,最大値Maximum,バックログされた入力イベントBacklogged Input Events,"LogicalName、PartitionIdLogicalName, PartitionId",,,,,,,
InputEventsSourcesPerSecondInputEventsSourcesPerSecond,受信した入力ソースInput Sources Received,CountCount,合計Total,受信した入力ソースInput Sources Received,"LogicalName、PartitionIdLogicalName, PartitionId",,,,,,,
,,,,,,,,,,,,
Microsoft.TimeSeriesInsights/environmentsMicrosoft.TimeSeriesInsights/environments,,,,,,,,,,,,
,,,,,,,,,,,,
メトリックMetric,メトリックの表示名Metric Display Name,単位Unit,集計の種類Aggregation Type,説明Description,DimensionsDimensions,,,,,,,
IngressReceivedMessagesIngressReceivedMessages,Ingress Received Messages (受信メッセージの受信)Ingress Received Messages,CountCount,合計Total,すべてのイベント ハブまたは IoT ハブ イベント ソースから読み取られたメッセージの数Count of messages read from all Event hub or IoT hub event sources,ディメンションなしNo Dimensions,,,,,,,
IngressReceivedInvalidMessagesIngressReceivedInvalidMessages,Ingress Received Invalid Messages (無効な受信メッセージの受信)Ingress Received Invalid Messages,CountCount,合計Total,すべてのイベント ハブまたは IoT ハブ イベント ソースから読み取られた無効なメッセージの数Count of invalid messages read from all Event hub or IoT hub event sources,ディメンションなしNo Dimensions,,,,,,,
IngressReceivedBytesIngressReceivedBytes,Ingress Received Bytes (受信バイトの受信)Ingress Received Bytes,BytesBytes,合計Total,すべてのイベント ソースから読み取られたバイト数Count of bytes read from all event sources,ディメンションなしNo Dimensions,,,,,,,
IngressStoredBytesIngressStoredBytes,Ingress Stored Bytes (保存済みバイトの受信)Ingress Stored Bytes,BytesBytes,合計Total,正常に処理され、クエリで利用できるイベントの合計サイズTotal size of events successfully processed and available for query,ディメンションなしNo Dimensions,,,,,,,
IngressStoredEventsIngressStoredEvents,Ingress Stored Events (保存済みイベントの受信)Ingress Stored Events,CountCount,合計Total,正常に処理され、クエリで利用できるフラット化されたイベントの数Count of flattened events successfully processed and available for query,ディメンションなしNo Dimensions,,,,,,,
IngressReceivedMessagesTimeLagIngressReceivedMessagesTimeLag,Ingress Received Messages Time Lag (受信メッセージの受信のタイム ラグ)Ingress Received Messages Time Lag,SecondsSeconds,最大値Maximum,メッセージがイベント ソースでエンキューされた時刻とそれがイングレスで処理された時刻の間の差Difference between the time that the message is enqueued in the event source and the time it is processed in Ingress,ディメンションなしNo Dimensions,,,,,,,
IngressReceivedMessagesCountLagIngressReceivedMessagesCountLag,Ingress Received Messages Count Lag (受信メッセージの受信のカウント ラグ)Ingress Received Messages Count Lag,CountCount,平均Average,イベント ソース パーティションで最後にエンキューされたメッセージのシーケンス番号とイングレスで処理されているメッセージのシーケンス番号の間の差Difference between the sequence number of last enqueued message in the event source partition and sequence number of message being processed in Ingress,ディメンションなしNo Dimensions,,,,,,,
WarmStorageMaxPropertiesWarmStorageMaxProperties,ウォーム ストレージの最大プロパティ数Warm Storage Max Properties,CountCount,最大値Maximum,S1/S2 SKU の環境で許可されているプロパティの最大数と PAYG SKU のウォーム ストアで許可されたプロパティの最大数Maximum number of properties used allowed by the environment for S1/S2 SKU and maximum number of properties allowed by Warm Store for PAYG SKU,ディメンションなしNo Dimensions,,,,,,,
WarmStorageUsedPropertiesWarmStorageUsedProperties,ウォーム ストレージ使用済みプロパティ数Warm Storage Used Properties,CountCount,最大値Maximum,S1/S2 SKU の環境で使用されているプロパティ数と PAYG SKU のウォーム ストアで使用されているプロパティ数Number of properties used by the environment for S1/S2 SKU and number of properties used by Warm Store for PAYG SKU,ディメンションなしNo Dimensions,,,,,,,
,,,,,,,,,,,,
Microsoft.TimeSeriesInsights/environments/eventsourcesMicrosoft.TimeSeriesInsights/environments/eventsources,,,,,,,,,,,,
,,,,,,,,,,,,
メトリックMetric,メトリックの表示名Metric Display Name,単位Unit,集計の種類Aggregation Type,説明Description,DimensionsDimensions,,,,,,,
IngressReceivedMessagesIngressReceivedMessages,Ingress Received Messages (受信メッセージの受信)Ingress Received Messages,CountCount,合計Total,イベント ソースから読み取られたメッセージの数Count of messages read from the event source,ディメンションなしNo Dimensions,,,,,,,
IngressReceivedInvalidMessagesIngressReceivedInvalidMessages,Ingress Received Invalid Messages (無効な受信メッセージの受信)Ingress Received Invalid Messages,CountCount,合計Total,イベント ソースから読み取られた無効なメッセージの数Count of invalid messages read from the event source,ディメンションなしNo Dimensions,,,,,,,
IngressReceivedBytesIngressReceivedBytes,Ingress Received Bytes (受信バイトの受信)Ingress Received Bytes,BytesBytes,合計Total,イベント ソースから読み取られたバイト数Count of bytes read from the event source,ディメンションなしNo Dimensions,,,,,,,
IngressStoredBytesIngressStoredBytes,Ingress Stored Bytes (保存済みバイトの受信)Ingress Stored Bytes,BytesBytes,合計Total,正常に処理され、クエリで利用できるイベントの合計サイズTotal size of events successfully processed and available for query,ディメンションなしNo Dimensions,,,,,,,
IngressStoredEventsIngressStoredEvents,Ingress Stored Events (保存済みイベントの受信)Ingress Stored Events,CountCount,合計Total,正常に処理され、クエリで利用できるフラット化されたイベントの数Count of flattened events successfully processed and available for query,ディメンションなしNo Dimensions,,,,,,,
IngressReceivedMessagesTimeLagIngressReceivedMessagesTimeLag,Ingress Received Messages Time Lag (受信メッセージの受信のタイム ラグ)Ingress Received Messages Time Lag,SecondsSeconds,最大値Maximum,メッセージがイベント ソースでエンキューされた時刻とそれがイングレスで処理された時刻の間の差Difference between the time that the message is enqueued in the event source and the time it is processed in Ingress,ディメンションなしNo Dimensions,,,,,,,
IngressReceivedMessagesCountLagIngressReceivedMessagesCountLag,Ingress Received Messages Count Lag (受信メッセージの受信のカウント ラグ)Ingress Received Messages Count Lag,CountCount,平均Average,イベント ソース パーティションで最後にエンキューされたメッセージのシーケンス番号とイングレスで処理されているメッセージのシーケンス番号の間の差Difference between the sequence number of last enqueued message in the event source partition and sequence number of message being processed in Ingress,ディメンションなしNo Dimensions,,,,,,,
WarmStorageMaxPropertiesWarmStorageMaxProperties,ウォーム ストレージの最大プロパティ数Warm Storage Max Properties,CountCount,最大値Maximum,S1/S2 SKU の環境で許可されているプロパティの最大数と PAYG SKU のウォーム ストアで許可されたプロパティの最大数Maximum number of properties used allowed by the environment for S1/S2 SKU and maximum number of properties allowed by Warm Store for PAYG SKU,ディメンションなしNo Dimensions,,,,,,,
WarmStorageUsedPropertiesWarmStorageUsedProperties,ウォーム ストレージ使用済みプロパティ数Warm Storage Used Properties,CountCount,最大値Maximum,S1/S2 SKU の環境で使用されているプロパティ数と PAYG SKU のウォーム ストアで使用されているプロパティ数Number of properties used by the environment for S1/S2 SKU and number of properties used by Warm Store for PAYG SKU,ディメンションなしNo Dimensions,,,,,,,
,,,,,,,,,,,,
Microsoft.VMwareCloudSimple/virtualMachinesMicrosoft.VMwareCloudSimple/virtualMachines,,,,,,,,,,,,
,,,,,,,,,,,,
メトリックMetric,メトリックの表示名Metric Display Name,単位Unit,集計の種類Aggregation Type,説明Description,DimensionsDimensions,,,,,,,
DiskReadBytesPerSecondDiskReadBytesPerSecond,Disk Read Bytes/SecDisk Read Bytes/Sec,BytesPerSecondBytesPerSecond,平均Average,サンプル期間にわたる読み取り操作による平均ディスク スループット。Average disk throughput due to read operations over the sample period.,ディメンションなしNo Dimensions,,,,,,,
DiskWriteBytesPerSecondDiskWriteBytesPerSecond,Disk Write Bytes/SecDisk Write Bytes/Sec,BytesPerSecondBytesPerSecond,平均Average,サンプル期間にわたる書き込み操作による平均ディスク スループット。Average disk throughput due to write operations over the sample period.,ディメンションなしNo Dimensions,,,,,,,
Disk Read BytesDisk Read Bytes,ディスク読み取りバイト数Disk Read Bytes,BytesBytes,合計Total,サンプル期間にわたる読み取り操作による合計ディスク スループット。Total disk throughput due to read operations over the sample period.,ディメンションなしNo Dimensions,,,,,,,
Disk Write BytesDisk Write Bytes,ディスク書き込みバイト数Disk Write Bytes,BytesBytes,合計Total,サンプル期間にわたる書き込み操作による合計ディスク スループット。Total disk throughput due to write operations over the sample period.,ディメンションなしNo Dimensions,,,,,,,
DiskReadOperationsDiskReadOperations,ディスク読み取り操作数Disk Read Operations,CountCount,合計Total,以前のサンプル期間内の IO 読み取り操作数。The number of IO read operations in the previous sample period. これらの操作はサイズが変動する場合があることに注意してください。Note that these operations may be variable sized.,ディメンションなしNo Dimensions,,,,,,,
DiskWriteOperationsDiskWriteOperations,Disk Write OperationsDisk Write Operations,CountCount,合計Total,以前のサンプル期間内の IO 書き込み操作数。The number of IO write operations in the previous sample period. これらの操作はサイズが変動する場合があることに注意してください。Note that these operations may be variable sized.,ディメンションなしNo Dimensions,,,,,,,
Disk Read Operations/SecDisk Read Operations/Sec,ディスク読み取り操作数/秒Disk Read Operations/Sec,CountPerSecondCountPerSecond,平均Average,以前のサンプル期間内の IO 読み取り操作の平均数。The average number of IO read operations in the previous sample period. これらの操作はサイズが変動する場合があることに注意してください。Note that these operations may be variable sized.,ディメンションなしNo Dimensions,,,,,,,
ディスク書き込み操作数/秒Disk Write Operations/Sec,ディスク書き込み操作数/秒Disk Write Operations/Sec,CountPerSecondCountPerSecond,平均Average,以前のサンプル期間内の IO 書き込み操作の平均数。The average number of IO write operations in the previous sample period. これらの操作はサイズが変動する場合があることに注意してください。Note that these operations may be variable sized.,ディメンションなしNo Dimensions,,,,,,,
DiskReadLatencyDiskReadLatency,ディスク読み取り待機時間Disk Read Latency,ミリ秒Milliseconds,平均Average,合計読み取り待機時間。Total read latency. デバイスとカーネルの読み取り待機時間の合計。The sum of the device and kernel read latencies.,ディメンションなしNo Dimensions,,,,,,,
DiskWriteLatencyDiskWriteLatency,ディスク書き込み待機時間Disk Write Latency,ミリ秒Milliseconds,平均Average,合計書き込み待機時間。Total write latency. デバイスとカーネルの書き込み待機時間の合計。The sum of the device and kernel write latencies.,ディメンションなしNo Dimensions,,,,,,,
NetworkInBytesPerSecondNetworkInBytesPerSecond,受信ネットワークのバイト数/秒Network In Bytes/Sec,BytesPerSecondBytesPerSecond,平均Average,受信トラフィックの平均ネットワーク スループット。Average network throughput for received traffic.,ディメンションなしNo Dimensions,,,,,,,
NetworkOutBytesPerSecondNetworkOutBytesPerSecond,送信ネットワークのバイト数/秒Network Out Bytes/Sec,BytesPerSecondBytesPerSecond,平均Average,送信トラフィックの平均ネットワーク スループット。Average network throughput for transmitted traffic.,ディメンションなしNo Dimensions,,,,,,,
Network InNetwork In,ネットワーク受信Network In,BytesBytes,合計Total,受信トラフィックの合計ネットワーク スループット。Total network throughput for received traffic.,ディメンションなしNo Dimensions,,,,,,,
ネットワーク送信Network Out,ネットワーク送信Network Out,BytesBytes,合計Total,送信トラフィックの合計ネットワーク スループット。Total network throughput for transmitted traffic.,ディメンションなしNo Dimensions,,,,,,,
MemoryUsedMemoryUsed,メモリ使用量Memory Used,BytesBytes,平均Average,VM によって使用されているマシンのメモリの容量。The amount of machine memory that is in use by the VM.,ディメンションなしNo Dimensions,,,,,,,
MemoryGrantedMemoryGranted,許可されているメモリ量Memory Granted,BytesBytes,平均Average,ホストによって VM に許可されたメモリの容量。The amount of memory that was granted to the VM by the host. VMkernel がメモリを必要とした場合、一度アクセスされ、許可されたメモリがスワップ アウトされるか、バルーニングされるまで、メモリはホストに与えられません。Memory is not granted to the host until it is touched one time and granted memory may be swapped out or ballooned away if the VMkernel needs the memory.,ディメンションなしNo Dimensions,,,,,,,
MemoryActiveMemoryActive,アクティブなメモリMemory Active,BytesBytes,平均Average,"過去の小さな時間枠で VM によって使用されたメモリの容量。The amount of memory used by the VM in the past small window of time. これは、VM が現在必要としているメモリの容量の「真」の数値です。This is the ""true"" number of how much memory the VM currently has need of. ゲストのパフォーマンスに影響を与えずに、追加の未使用メモリをスワップ アウトするか、バルーニングできます。Additional, unused memory may be swapped out or ballooned with no impact to the guest's performance.",ディメンションなしNo Dimensions,,,,,,,
Percentage CPUPercentage CPU,CPU の割合Percentage CPU,PercentPercent,平均Average,"ノードの CPU 使用率。The CPU utilization. この値は、100% でシステム上のすべてのプロセッサ コアを表します。This value is reported with 100% representing all processor cores on the system. たとえば、4 コア システムの 50% を使用する双方向 VM は、2 つのコアを完全に使用します。As an example, a 2-way VM using 50% of a four-core system is completely using two cores.",ディメンションなしNo Dimensions,,,,,,,
PercentageCpuReadyPercentageCpuReady,CPU Ready の割合Percentage CPU Ready,ミリ秒Milliseconds,合計Total,準備時間は、過去の更新間隔で CPU が利用可能になるまで待機するのに費やされた時間です。Ready time is the time spend waiting for CPU(s) to become available in the past update interval.,ディメンションなしNo Dimensions,,,,,,,
,,,,,,,,,,,,
Microsoft.Web/serverfarmsMicrosoft.Web/serverfarms,,,,,,,,,,,,
,,,,,,,,,,,,
メトリックMetric,メトリックの表示名Metric Display Name,単位Unit,集計の種類Aggregation Type,説明Description,DimensionsDimensions,,,,,,,
CpuPercentageCpuPercentage,CPU の割合CPU Percentage,PercentPercent,平均Average,CPU の割合CPU Percentage,インスタンスInstance,,,,,,,
MemoryPercentageMemoryPercentage,メモリの割合Memory Percentage,PercentPercent,平均Average,メモリの割合Memory Percentage,インスタンスInstance,,,,,,,
DiskQueueLengthDiskQueueLength,ディスク キューの長さDisk Queue Length,CountCount,平均Average,ディスク キューの長さDisk Queue Length,インスタンスInstance,,,,,,,
HttpQueueLengthHttpQueueLength,HTTP キューの長さHttp Queue Length,CountCount,平均Average,HTTP キューの長さHttp Queue Length,インスタンスInstance,,,,,,,
BytesReceivedBytesReceived,受信データData In,BytesBytes,合計Total,受信データData In,インスタンスInstance,,,,,,,
